filepath,filename,size_bytes,status,error
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-04_120000_B.jpg,2026-03-04_120000_B.jpg,148570,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_083329.jpg,2026-03-07_083329.jpg,2552766,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_083333.jpg,2026-03-07_083333.jpg,2936266,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_104812.jpg,2026-03-07_104812.jpg,4140099,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_172958.jpg,2026-03-07_172958.jpg,4182424,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_173003.jpg,2026-03-07_173003.jpg,6699029,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_173012.jpg,2026-03-07_173012.jpg,3326182,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_173649.jpg,2026-03-07_173649.jpg,3214702,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_173721.jpg,2026-03-07_173721.jpg,4826370,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184541.jpg,2026-03-07_184541.jpg,4681698,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184542.jpg,2026-03-07_184542.jpg,4467456,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184550.jpg,2026-03-07_184550.jpg,5015114,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184551.jpg,2026-03-07_184551.jpg,5344456,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184552.jpg,2026-03-07_184552.jpg,5353167,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184556.jpg,2026-03-07_184556.jpg,5747004,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184557.jpg,2026-03-07_184557.jpg,4806348,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184558.jpg,2026-03-07_184558.jpg,5055535,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184559.jpg,2026-03-07_184559.jpg,6318575,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184600.jpg,2026-03-07_184600.jpg,6140049,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_184600_B.jpg,2026-03-07_184600_B.jpg,5643013,subido,
